职称,发布时间,地点,薪资,工作天数,实习时长,公司,职位
Java实习生（2019年应届生）,5小时前,南昌,100-150/天,5天/周,9个月,安硕信息,Java
Java开发实习生,1周前,上海,150-200/天,5天/周,9个月,非码,Java
后端,5小时前,杭州,50-100/天,4天/周,10个月,梦虎投资,Java
JavaScript/H5编程讲师/助教,2天前,广州,100-150/天,5天/周,4个月,酷码教育,Java
c++/java开发工程师,2月前,北京,100-150/天,4天/周,10个月,齐聚科技,C/C++
Java研发工程师,2天前,杭州,200-250/天,5天/周,4个月,宇石,Java
Java开发实习生,3天前,北京,100-150/天,4天/周,4个月,宜人贷,Java
JAVA实习生（YYCP1Ifo）,1周前,北京,120-180/天,5天/周,7个月,东方国信,其他类型
JAVA后端开发工程师（或实习生）,3天前,杭州,100-150/天,5天/周,11个月,博达乐思,Java
厦门软件研发类实习生,1周前,厦门,100-150/天,5天/周,4个月,银丰新融,Java
Java实习,1月前,上海,150-200/天,4天/周,5个月,拍拍信,Java
Java开发实习生,1周前,上海,200-250/天,5天/周,4个月,阅文集团,Java
Java开发工程师/开发顾问,7天前,西安,80-160/天,5天/周,10个月,用友金融,软件
Java实习生,5天前,重庆,100-150/天,5天/周,8个月,思特奇,Java
JAVA开发工程师（2019校招）,2月前,福州,200-400/天,5天/周,7个月,联迪商用,其他类型
JAVA开发-大数据实习生,4小时前,北京,200-250/天,4天/周,13个月,搜狐,Java
Java实习生,3天前,北京,面议,5天/周,9个月,Meginfo,Java
游戏服务器开发工程师,4月前,成都,120-200/天,5天/周,13个月,菲尼克斯互娱,Java
软件开发工程师（Java）,5天前,北京,150-200/天,5天/周,8个月,普元,Java
java开发委培生,2天前,合肥,80-100/天,5天/周,9个月,合肥凯捷,软件
初级java软件工程师,2周前,北京,250-300/天,5天/周,4个月,天阳宏业,Java
Java工程师实习生（上海）,1周前,上海,200-250/天,5天/周,3个月,百融金服,Java
java开发工程师,2周前,成都,1-2/天,5天/周,7个月,八云科技,Java
游戏开发工程师（服务器）,2周前,北京,1-2/天,5天/周,4个月,光宇游戏,Java
安卓应用开发实习生,1周前,上海,300-400/天,3天/周,4个月,蔚来汽车,Java
java工程师实习生,2周前,北京,150-200/天,5天/周,3个月,百融金服,Java
JAVA实习生,1周前,上海,200-250/天,3天/周,5个月,阅文集团,Java
JAVA开发实习生,4小时前,北京,200-350/天,4天/周,3个月,牛客网,Java
AS400开发实习生（2019届）,1小时前,广州,100-150/天,5天/周,8个月,华钦软件,Java
java工程师-实习生,2周前,北京,150-200/天,5天/周,4个月,百融金服,Java
微信小程序开发实习生intern,1月前,北京,150-200/天,5天/周,18个月,核淘租房,Java
Java开发工程师（实习生）,6小时前,深圳,250-300/天,5天/周,12个月,迈科龙集团,Java
深圳-Java实习生（2019年应届生）,5小时前,深圳,100-150/天,4天/周,9个月,安硕信息,Java
Java研发实习生（大数据方向）,1周前,北京,150-200/天,5天/周,3个月,新浪微博,Java
J2EE开发工程师实习生,1周前,北京,250-300/天,4天/周,6个月,爱奇艺,Java
Java测试实习生,5小时前,北京,200-250/天,5天/周,7个月,好未来,测试
JAVA实习工程师,5天前,北京,200-250/天,5天/周,12个月,汉朔科技,Java
Java开发工程师实习,26小时前,深圳,200-250/天,5天/周,3个月,Expedia 亿客行,前端
实施实习生,6天前,北京,50-100/天,5天/周,4个月,用友建筑云,Java
金融风险工程师Java实习生,2周前,北京,150-200/天,4天/周,3个月,百融金服,Java
实施工程师实习生,2月前,上海,150-200/天,4天/周,11个月,熙菱信息,Java
软件开发工程师（2019校招-Java）,6天前,上海,100-150/天,4天/周,6个月,途虎养车网,Java
Java开发工程师（GYHLW1hdy）,1月前,北京,120-200/天,5天/周,8个月,东方国信,其他类型
Java开发实习生,1周前,上海,200-250/天,3天/周,5个月,阅文集团,Java
JAVA程序员,1周前,大连,150-200/天,5天/周,13个月,茵德维森,Java
2019java工程师实习生,1周前,北京,150-200/天,5天/周,3个月,百融金服,Java
AI-大海项目组-JAVA实习生,6天前,北京,150-200/天,5天/周,7个月,好未来,Java
测试实习生(JAVA基础）,5小时前,北京,200-250/天,5天/周,7个月,好未来,测试
java开发实习生,4小时前,上海,150-200/天,4天/周,8个月,树维信息,Java
